nameWithOwner,sshUrl,stargazers.totalCount,releases.totalCount,createdAt
quarkusio/quarkus,git@github.com:quarkusio/quarkus.git,10623,187,2018-07-06T00:44:20Z
lingochamp/FileDownloader,git@github.com:lingochamp/FileDownloader.git,10616,65,2015-12-22T11:17:16Z
code4craft/webmagic,git@github.com:code4craft/webmagic.git,10515,21,2013-04-23T12:57:36Z
mission-peace/interview,git@github.com:mission-peace/interview.git,10493,0,2014-07-20T21:27:31Z
gyf-dev/ImmersionBar,git@github.com:gyf-dev/ImmersionBar.git,10486,0,2017-04-19T05:10:09Z
Grasscutters/Grasscutter,git@github.com:Grasscutters/Grasscutter.git,10479,0,2022-04-17T12:43:46Z
janishar/mit-deep-learning-book-pdf,git@github.com:janishar/mit-deep-learning-book-pdf.git,10478,3,2017-04-07T10:46:50Z
jeasonlzy/okhttp-OkGo,git@github.com:jeasonlzy/okhttp-OkGo.git,10445,14,2016-01-15T10:35:24Z
lipangit/JiaoZiVideoPlayer,git@github.com:lipangit/JiaoZiVideoPlayer.git,10420,78,2016-02-06T11:04:24Z
tbruyelle/RxPermissions,git@github.com:tbruyelle/RxPermissions.git,10367,11,2015-09-29T13:55:09Z
neo4j/neo4j,git@github.com:neo4j/neo4j.git,10358,72,2012-11-12T08:46:15Z
DuGuQiuBai/Java,git@github.com:DuGuQiuBai/Java.git,10233,0,2015-11-25T07:30:08Z
JakeWharton/ViewPagerIndicator,git@github.com:JakeWharton/ViewPagerIndicator.git,10199,0,2011-08-04T17:13:44Z
careercup/CtCI-6th-Edition,git@github.com:careercup/CtCI-6th-Edition.git,10194,0,2015-07-02T06:28:46Z
JessYanCoding/MVPArms,git@github.com:JessYanCoding/MVPArms.git,10186,25,2016-08-06T08:49:56Z
daniulive/SmarterStreaming,git@github.com:daniulive/SmarterStreaming.git,10183,0,2016-03-26T14:46:02Z
dromara/Sa-Token,git@github.com:dromara/Sa-Token.git,10173,24,2020-02-03T10:34:29Z
pxb1988/dex2jar,git@github.com:pxb1988/dex2jar.git,10123,6,2015-03-16T09:13:07Z
chefyuan/algorithm-base,git@github.com:chefyuan/algorithm-base.git,10104,0,2021-03-17T09:32:28Z
aosp-mirror/platform_frameworks_base,git@github.com:aosp-mirror/platform_frameworks_base.git,10099,0,2008-10-21T18:20:37Z
grpc/grpc-java,git@github.com:grpc/grpc-java.git,10011,115,2014-12-08T19:00:00Z
google/auto,git@github.com:google/auto.git,9841,55,2013-05-22T21:41:56Z
zaproxy/zaproxy,git@github.com:zaproxy/zaproxy.git,9803,280,2015-06-03T16:55:01Z
square/javapoet,git@github.com:square/javapoet.git,9782,0,2013-02-01T16:56:30Z
YoKeyword/Fragmentation,git@github.com:YoKeyword/Fragmentation.git,9728,30,2016-02-23T08:54:55Z
wasabeef/glide-transformations,git@github.com:wasabeef/glide-transformations.git,9698,0,2015-01-09T10:33:29Z
apereo/cas,git@github.com:apereo/cas.git,9673,229,2011-09-09T01:36:42Z
jhy/jsoup,git@github.com:jhy/jsoup.git,9662,8,2009-12-19T01:29:58Z
HarlonWang/AVLoadingIndicatorView,git@github.com:HarlonWang/AVLoadingIndicatorView.git,9651,1,2015-10-24T20:18:33Z
liaohuqiu/android-Ultra-Pull-To-Refresh,git@github.com:liaohuqiu/android-Ultra-Pull-To-Refresh.git,9644,8,2014-11-13T03:13:10Z
clojure/clojure,git@github.com:clojure/clojure.git,9638,0,2010-06-29T20:03:33Z
ksoichiro/Android-ObservableScrollView,git@github.com:ksoichiro/Android-ObservableScrollView.git,9615,0,2014-11-08T14:45:20Z
react-native-camera/react-native-camera,git@github.com:react-native-camera/react-native-camera.git,9570,144,2015-04-01T00:54:40Z
theonedev/onedev,git@github.com:theonedev/onedev.git,9544,182,2018-11-06T02:57:01Z
googlesamples/easypermissions,git@github.com:googlesamples/easypermissions.git,9541,12,2015-12-22T18:05:53Z
paascloud/paascloud-master,git@github.com:paascloud/paascloud-master.git,9434,0,2018-03-17T05:40:43Z
umano/AndroidSlidingUpPanel,git@github.com:umano/AndroidSlidingUpPanel.git,9427,8,2013-05-31T18:33:53Z
pockethub/PocketHub,git@github.com:pockethub/PocketHub.git,9424,1,2011-09-08T16:52:50Z
perwendel/spark,git@github.com:perwendel/spark.git,9352,0,2011-05-05T11:52:05Z
bilibili/DanmakuFlameMaster,git@github.com:bilibili/DanmakuFlameMaster.git,9326,5,2013-08-11T12:18:50Z
MyCATApache/Mycat-Server,git@github.com:MyCATApache/Mycat-Server.git,9310,7,2014-12-04T02:46:54Z
macrozheng/mall-swarm,git@github.com:macrozheng/mall-swarm.git,9288,2,2019-11-25T06:55:31Z
TooTallNate/Java-WebSocket,git@github.com:TooTallNate/Java-WebSocket.git,9285,14,2010-01-20T23:33:04Z
hackware1993/MagicIndicator,git@github.com:hackware1993/MagicIndicator.git,9231,12,2016-06-26T08:20:43Z
newbee-ltd/newbee-mall,git@github.com:newbee-ltd/newbee-mall.git,9224,0,2019-09-21T03:56:04Z
koral--/android-gif-drawable,git@github.com:koral--/android-gif-drawable.git,9170,57,2013-01-30T01:37:46Z
lihengming/spring-boot-api-project-seed,git@github.com:lihengming/spring-boot-api-project-seed.git,9155,4,2017-06-23T10:06:30Z
MindorksOpenSource/android-interview-questions,git@github.com:MindorksOpenSource/android-interview-questions.git,9141,0,2017-07-09T18:47:24Z
questdb/questdb,git@github.com:questdb/questdb.git,9086,53,2014-04-28T23:29:15Z
navasmdc/MaterialDesignLibrary,git@github.com:navasmdc/MaterialDesignLibrary.git,9075,3,2014-09-30T07:37:17Z
lzyzsd/JsBridge,git@github.com:lzyzsd/JsBridge.git,9063,0,2015-02-26T12:10:58Z
OpenRefine/OpenRefine,git@github.com:OpenRefine/OpenRefine.git,8974,37,2012-10-15T02:22:48Z
Activiti/Activiti,git@github.com:Activiti/Activiti.git,8904,33,2012-09-13T11:34:43Z
nathanmarz/storm,git@github.com:nathanmarz/storm.git,8898,0,2011-09-17T07:55:13Z
asLody/VirtualApp,git@github.com:asLody/VirtualApp.git,8870,0,2016-07-06T13:25:23Z
doocs/jvm,git@github.com:doocs/jvm.git,8868,0,2018-06-23T01:12:59Z
laobie/StatusBarUtil,git@github.com:laobie/StatusBarUtil.git,8777,0,2016-02-15T03:06:06Z
chrisbanes/Android-PullToRefresh,git@github.com:chrisbanes/Android-PullToRefresh.git,8760,0,2011-11-29T09:59:56Z
didi/VirtualAPK,git@github.com:didi/VirtualAPK.git,8733,4,2017-06-29T07:25:05Z
GcsSloop/AndroidNote,git@github.com:GcsSloop/AndroidNote.git,8705,0,2016-01-04T23:51:36Z
Justson/AgentWeb,git@github.com:Justson/AgentWeb.git,8631,18,2017-05-12T07:45:56Z
apache/dolphinscheduler,git@github.com:apache/dolphinscheduler.git,8619,29,2019-03-01T16:39:25Z
stanfordnlp/CoreNLP,git@github.com:stanfordnlp/CoreNLP.git,8618,10,2013-06-27T21:13:49Z
chrisjenx/Calligraphy,git@github.com:chrisjenx/Calligraphy.git,8613,4,2013-12-20T02:35:45Z
android/testing-samples,git@github.com:android/testing-samples.git,8600,0,2014-10-11T03:51:27Z
kunal-kushwaha/DSA-Bootcamp-Java,git@github.com:kunal-kushwaha/DSA-Bootcamp-Java.git,8597,0,2021-07-30T12:23:25Z
jwtk/jjwt,git@github.com:jwtk/jjwt.git,8539,0,2014-09-13T01:06:24Z
Freelander/Android_Data,git@github.com:Freelander/Android_Data.git,8538,0,2015-04-04T01:37:44Z
crossoverJie/cim,git@github.com:crossoverJie/cim.git,8507,7,2018-05-20T15:55:56Z
cats-oss/android-gpuimage,git@github.com:cats-oss/android-gpuimage.git,8481,0,2012-10-04T08:11:58Z
roughike/BottomBar,git@github.com:roughike/BottomBar.git,8437,4,2016-03-16T01:31:05Z
Blankj/awesome-java-leetcode,git@github.com:Blankj/awesome-java-leetcode.git,8431,0,2017-04-17T15:51:41Z
huanghaibin-dev/CalendarView,git@github.com:huanghaibin-dev/CalendarView.git,8402,0,2017-03-11T07:16:09Z
facebook/buck,git@github.com:facebook/buck.git,8375,57,2013-04-17T18:12:18Z
junit-team/junit4,git@github.com:junit-team/junit4.git,8350,13,2009-01-13T03:41:26Z
OpenFeign/feign,git@github.com:OpenFeign/feign.git,8286,24,2013-06-26T23:28:16Z
ybq/Android-SpinKit,git@github.com:ybq/Android-SpinKit.git,8281,0,2016-03-20T08:40:51Z
dropwizard/dropwizard,git@github.com:dropwizard/dropwizard.git,8276,127,2011-01-19T19:52:29Z
alibaba/COLA,git@github.com:alibaba/COLA.git,8275,9,2018-02-06T13:46:27Z
resilience4j/resilience4j,git@github.com:resilience4j/resilience4j.git,8244,29,2015-06-03T09:21:01Z
metersphere/metersphere,git@github.com:metersphere/metersphere.git,8225,159,2020-02-03T02:06:12Z
firebase/quickstart-android,git@github.com:firebase/quickstart-android.git,8207,0,2016-04-26T17:13:27Z
florent37/MaterialViewPager,git@github.com:florent37/MaterialViewPager.git,8204,11,2015-04-24T17:53:15Z
cryptomator/cryptomator,git@github.com:cryptomator/cryptomator.git,8122,133,2014-02-02T00:43:47Z
gyoogle/tech-interview-for-developer,git@github.com:gyoogle/tech-interview-for-developer.git,8093,0,2019-06-09T04:42:57Z
shwenzhang/AndResGuard,git@github.com:shwenzhang/AndResGuard.git,8079,4,2015-10-11T11:48:06Z
alibaba/atlas,git@github.com:alibaba/atlas.git,8076,7,2017-02-28T06:31:43Z
amitshekhariitbhu/Android-Debug-Database,git@github.com:amitshekhariitbhu/Android-Debug-Database.git,8045,12,2016-11-16T14:20:24Z
airbnb/epoxy,git@github.com:airbnb/epoxy.git,7999,70,2016-08-08T23:05:11Z
ChrisRM/material-theme-jetbrains,git@github.com:ChrisRM/material-theme-jetbrains.git,7900,17,2015-09-23T07:15:04Z
hs-web/hsweb-framework,git@github.com:hs-web/hsweb-framework.git,7900,25,2016-01-18T03:51:39Z
HannahMitt/HomeMirror,git@github.com:HannahMitt/HomeMirror.git,7891,0,2015-08-23T03:20:08Z
Netflix/SimianArmy,git@github.com:Netflix/SimianArmy.git,7886,4,2012-07-06T22:00:05Z
guolindev/LitePal,git@github.com:guolindev/LitePal.git,7876,0,2013-02-20T03:20:07Z
airbytehq/airbyte,git@github.com:airbytehq/airbyte.git,7854,260,2020-07-27T23:55:54Z
JakeWharton/hugo,git@github.com:JakeWharton/hugo.git,7839,0,2013-11-25T09:16:40Z
KunMinX/Jetpack-MVVM-Best-Practice,git@github.com:KunMinX/Jetpack-MVVM-Best-Practice.git,7835,0,2019-10-31T05:21:01Z
signalapp/Signal-Server,git@github.com:signalapp/Signal-Server.git,7805,0,2013-12-09T07:10:36Z
trello/RxLifecycle,git@github.com:trello/RxLifecycle.git,7711,22,2015-07-20T13:32:23Z
react-native-image-picker/react-native-image-picker,git@github.com:react-native-image-picker/react-native-image-picker.git,7709,108,2015-06-08T20:25:31Z
apache/shardingsphere-elasticjob,git@github.com:apache/shardingsphere-elasticjob.git,7672,27,2015-09-11T11:28:52Z
zhoutaoo/SpringCloud,git@github.com:zhoutaoo/SpringCloud.git,7646,0,2017-07-23T14:28:08Z
